,text,id,retweets,replys,likes,author_id,source,lang,created_at,place_id
0,"já dizia sofia manzano, o comunismo é a ideia mais generosa que a humanidade já produziu! https://t.co/Y0MUydzdyo",1537635711268098050,0,0,0,215858830,Twitter for iPhone,pt,2022-06-17 03:18:16+00:00,
1,"quero muito votar na sofia manzano
IMPOSSÍVEL TANKAR O BOSTIL QUE NÃO A CONHECE",1537607873173282818,0,0,0,1493746709163171844,Twitter for Android,pt,2022-06-17 01:27:38+00:00,
2,vou votar na sofia manzano fodase,1537606787779768320,0,2,0,1446314422503362568,Twitter Web App,pt,2022-06-17 01:23:20+00:00,
3,"Muito obrigado pela solidariedade da camarada Sofia Manzano, Pré Candidata à Presidência da República pelo PCB.

#glauberfica
#equipe https://t.co/aSdDUCjfnm",1537569401020489737,41,14,425,65720380,Twitter for iPhone,pt,2022-06-16 22:54:46+00:00,
4,@TatianaPiresBr @guilhermesparr2 @FernandoHortaOf Entenda algo PT/Lula é um partido democrata pro social. Estamos no Brasil. Por isso minha candidata é Sofia Manzano PCB. Estamos construindo a candidatura de esquerda pelo Poder Popular dos trabalhadores. A opção do Alckmin c vice uma opção do PT e óbvio votarei no Lula 2° turno,1537567834317934598,0,1,1,1084430912870322176,Twitter for Android,pt,2022-06-16 22:48:32+00:00,
5,MUITO IMPORTANTE a Sofia Manzano pontuando também. O PCB aos pouquinhos vem ganhando notoriedade. Figurar na pesquisa num estado conservador como o nosso é um grande avanço,1537565107458387968,0,0,0,1042226072,Twitter for Android,pt,2022-06-16 22:37:42+00:00,
6,"@Palomabm @HarrissonCorre1 E o Cirão que dizia que o Bolsonaro não era ameaça para a democracia heim?
Por isso mesmo vou de esquerda radical que não muda de lado nem de posição, vou de Sofia Manzano",1537558936894709765,0,1,0,49702140,Twitter Web App,pt,2022-06-16 22:13:11+00:00,
7,"@dias_beag Papo reto, acho que me identifico mais com as pautas do PCB da Sofia Manzano, mas votar no Lula é a estratégia mais consciente no momento, depois que as regras da democracia voltarem a funcionar, podemos ampliar melhor o debate",1537549436489965569,0,0,0,1486471687508049921,Twitter for Android,pt,2022-06-16 21:35:26+00:00,
8,"@BattleCossack @domingoparque @CavalcFa @pescador_jp @BrianMteleSUR Tipo ""Sofia Manzano mora nos Jardins!"". (Claro, ela acorda de madrugada pra pegar o avião pra Salvador, depois vai pra Vitória da Conquista dar aula na UESB, dá comida pros cachorros de lá, e volta pros Jardins).

Falando nisso, o domicílio do Alckmin é no Brás né?",1537549336413982725,0,0,1,711657166105608192,Twitter Web App,pt,2022-06-16 21:35:02+00:00,
9,"Críticas dos PCBistas a Lula:
- caráter da política;
- alianças;
- necessidade de radicalização;

Críticas dos PTistas à Sofia Manzano:
- mentiras sobre nacionalidade e domicílio;
- ""não é conhecida pelo povão"" (e Haddad e a Dilma eram em 2010-12?);
- ""Lulalckmin é bacaninha"".",1537548618709835776,0,0,5,711657166105608192,Twitter Web App,pt,2022-06-16 21:32:11+00:00,
10,"Solidariedade ao Dep. Glauber Braga, por Sofia Manzano.
#GlauberFICA 
#ForaLira https://t.co/3sEo2tRYg7",1537547690032111624,1,0,1,3247324247,Twitter for Android,pt,2022-06-16 21:28:30+00:00,
11,@LeilaGermano Acho doido que a Sofia Manzano tem 1% lá,1537546316468916226,0,0,2,4849892589,Twitter for Android,pt,2022-06-16 21:23:02+00:00,
