,text,id,retweets,replys,likes,author_id,source,lang,created_at,place_id
0,"Luiz Felipe D’Ávila: “Eleitores estão preocupados em como pagar as contas”
https://t.co/c56YjrnlLZ",1.5375594901905326e+18,2.0,2.0,13.0,1.445471936893444e+18,Twitter Web App,pt,2022-06-16 22:15:23+00:00,
1,@eitahlinda @P15Pablo Mas o candidato do Novo é Luiz Felipe D'avila.,1.5374795587855565e+18,0.0,0.0,0.0,131487100.0,Twitter for Android,pt,2022-06-16 16:57:46+00:00,
2,"@lfdavilaoficial @RomeuZema “Meu candidato a presidente é Luiz Felipe D´Avila” é obrigação partidária. Zema já se posicionou em favor de Bolsonaro.
É ridículo você. politicamente zero à esquerda, se posicionar assim. Mostra que não tem preparo nenhum.",1.537446658622886e+18,0.0,1.0,0.0,1935432210.0,Twitter Web App,pt,2022-06-16 14:47:02+00:00,
3,"“Meu candidato a presidente é Luiz Felipe D´Avila”. A frase do @romeuzema mostra que o NOVO tem unidade e foco no Brasil que dá certo. Minas Gerais se livrou da gestão PT, que arruinou o estado, e está em constante crescimento. Esse é o modelo que podemos levar para todo o Brasil https://t.co/9wd2E2UeIy",1.5374348304341934e+18,49.0,58.0,510.0,9.008318462584136e+17,Twitter Web App,pt,2022-06-16 14:00:02+00:00,
4,"@joaoamoedonovo O Luiz Felipe D’Ávila é um excelente candidato à presidência, pena que você f…. com o partido.",1.537127323018879e+18,0.0,0.0,0.0,1.5187669923161088e+18,Twitter for iPhone,pt,2022-06-15 17:38:06+00:00,
5,"Última pesquisa eleitoral: Lula da Silva com 44%, Bozo com 32%, Ciro Gomes com 9%, Simone Tebet com 2%, Luiz Felipe D'Ávila com 1% e o Luciano Bivar com ... 0% 

Infelizmente a Polarização entre Bolsonarismo e Lulismo está profundamente enraizada na Sociedade civil brasileira.",1.5371082912596664e+18,0.0,2.0,0.0,382220373.0,Twitter for Android,pt,2022-06-15 16:22:29+00:00,
6,@eline__30 Luiz Felipe D'Ávila Presidente 2022!,1.537050937692496e+18,0.0,0.0,0.0,1.5198433008066929e+18,Twitter for Android,pt,2022-06-15 12:34:35+00:00,
7,"@jonesmanoel_PCB Sim.
Mas também tem burguesia na candidatura de Simone Tebet, na candidatura do Luiz Felipe D'Ávila, na candidatura do André Janones, numa futura candidatura do PSD e até parte da burguesia na candidatura do Ciro Gomes",1.5368663193369805e+18,0.0,1.0,0.0,882601550.0,Twitter Web App,pt,2022-06-15 00:20:58+00:00,
8,"A Folha/UOL fez matéria hoje sobre o deputado estadual, Frederico Braun d'Ávila (PL/SP), irmão por pai do pré-candidato presidencial do Partido Novo, Luiz Felipe d'Avila, cuja genealogia já pesquisamos e por parte materna, Braun, de origens judaicas.  https://t.co/IAJIXFZduh",1.5368265226229965e+18,3.0,0.0,13.0,8.587206096474153e+17,Twitter Web App,pt,2022-06-14 21:42:50+00:00,
9,"@lauramariotto @joao_milanineto @lfdavilaoficial @claudioedantas Assim como devemos separar Moro da corja do UB, devemos ouvir as propostas de Felipe. O único candidato que tem de fato um projeto para o futuro do país. 
https://t.co/oBWPvi2qHy",1.5367557932819292e+18,0.0,1.0,1.0,1.4842907774968832e+18,Twitter for Android,pt,2022-06-14 17:01:47+00:00,
