,text,id,retweets,replys,likes,author_id,source,lang,created_at,place_id
0,@fartosuely1 @_afadamadrinha @thinkmoreBrazil @deltanmd @SF_Moro Acorda Bivar é Moro para Presidente.,1537649055500840963,1,0,1,1410976003707576323,Twitter for Android,pt,2022-06-17 04:11:17+00:00,
1,@ElenTorres10 Quem confia no Bivar?,1537646342503378944,0,0,0,238748488,Twitter for iPhone,pt,2022-06-17 04:00:30+00:00,
2,"Moro pode escolher cargo para concorrer, diz o presidente nacional do União Brasil https://t.co/LV80aNaj91  Bivar não insulte nossa inteligencia,o senhor já combinou c/Bolsonaro p/ boicotar toda candidatura do Sr Moro, e 2o turno se tornará Dep.Federal ficando c/ Centrão toma lá",1537645947148242944,0,0,0,1487305993834934279,Twitter Web App,pt,2022-06-17 03:58:56+00:00,
3,"@luzia74992679 Acorda Bivar, é Moro para Presidente.",1537645839908315137,0,0,0,1410976003707576323,Twitter for Android,pt,2022-06-17 03:58:30+00:00,
4,"Bivar pensa que todos são alienados, Moro para Governador no PR so o Ratinho jr porque UB apoia o partido e candidato não abrirá mão. Para Senador só concorrerá se o Alvaro Dias a favor do Bolsonaro desistir, sobrou deputado federal que ele Moro não quer disputar. Fica dificil https://t.co/SJiNEWYZUV",1537644855681290241,1,1,2,1487305993834934279,Twitter Web App,pt,2022-06-17 03:54:36+00:00,
5,"Sra Elen quem acredita naquele bandido bolsonarista do Bivar? Ele e o sistema corrupto não deixará Moro ou Deltan concorrer a nada.Hoje outra representação contra o Dallagnol querendo torná-lo inelegivel,e os partidos deles não os defendem contra o sistema porque fazem parte dele https://t.co/SJiNEWYZUV",1537644077755383809,0,0,0,1487305993834934279,Twitter Web App,pt,2022-06-17 03:51:30+00:00,
6,"Não mesmo mas essa gente terminará na cadeia junto com Lula e Centrão Collor, Bivar, Tebet  e todos os politicos corruptos de todos os partidos e STF https://t.co/h8AmqsQJCF",1537639683919949824,0,0,0,1487305993834934279,Twitter Web App,pt,2022-06-17 03:34:03+00:00,
7,"@DavidRojo1917 @beazcastro @Germano44581169 @cirogomes Ciro mendigando apoio?
Ciro tem 10% numa eleição em que os dois pulhas que estão na frente podem cair a qualquer momento, ter chapa cassada, irem presos.
Bivar nem pontua.
Bivar precisa mais do Ciro do que Ciro precisa do Bivar.
Hahahahahahaha.
https://t.co/WVrpXvtGgB",1537638419127574530,0,0,0,1517657761915490306,Twitter Web App,pt,2022-06-17 03:29:01+00:00,
8,@thinkmoreBrazil Se ele sair para deputado vai ser chamado de TCHUTCHUCA do Bivar e com razão inclusive.,1537633997253234688,0,0,0,4901518737,Twitter for Android,pt,2022-06-17 03:11:27+00:00,
9,"HONESTIDADE É OBRIGAÇÃO, NÃO ESTAMOS FAZENDO FAVOR A NINGUEM. #NemLulaNemBolsonaro  nem Centrão, Ciro, Marçal, Bivar ou Tebet não nos meçam por suas réguas, enquanto dormem em mansões, muitos dormem nas ruas e com fome, porque voces não fazem o que se comprometeram a fazer. https://t.co/EI6khvLU6U",1537633561343320064,0,0,0,1487305993834934279,Twitter Web App,pt,2022-06-17 03:09:43+00:00,
10,"@DavidRojo1917 @beazcastro @Germano44581169 @cirogomes União Brasil é o que vai apoiar Haddad agora?
https://t.co/TZvIIMIcxi",1537632826723643394,0,1,0,1517657761915490306,Twitter for Android,pt,2022-06-17 03:06:48+00:00,
11,Ole ole ole olá Milton Bivar,1537618162761490433,0,0,0,1631420192,Twitter for Android,fi,2022-06-17 02:08:32+00:00,
12,Luciano Bivar candidato a presidente no lugar de Moro é uma grande palhaçada!!! https://t.co/hdhVOT9H1H,1537609235797876746,0,0,2,1200194035803185152,Twitter for iPhone,pt,2022-06-17 01:33:03+00:00,
13,"@fartosuely1 @RenestoM @thinkmoreBrazil @deltanmd @SF_Moro Luciano Bivar candidato a presidente no lugar de Moro é uma grande piada!!!
O vagabundo não tem nem vergonha de se posicionar acima de Moro!!",1537608716534657025,0,0,1,1200194035803185152,Twitter for iPhone,pt,2022-06-17 01:31:00+00:00,
14,"@1973Cadilac @ThaisRMaschio E fazendo um adendo, Bivar aparentemente vai apoiar Haddad em SP, então você critica um apoio de Bivar para Ciro, mas não comenta sobre esse apoio de Bivar para Haddad? E olhe que nem falei de Paulinho da Força aqui",1537605881398976512,0,1,1,1443590918230065159,Twitter Web App,pt,2022-06-17 01:19:44+00:00,
15,Luciano Bivar https://t.co/HpqyRztw4l,1537605805842780164,0,0,0,1483122603611066373,Twitter for Android,sl,2022-06-17 01:19:26+00:00,
16,"@1973Cadilac @Casullos @ThaisRMaschio Então por essa premissa Haddad não vai fazer nada por São Paulo pq está pedindo apoio do União Brasil, dos mesmos Bivar e ACM Neto?
Ou quando eles apoiam o PT voltam a prestar?",1537605640515993601,0,1,1,35480275,Twitter Web App,pt,2022-06-17 01:18:46+00:00,
17,"Aí TEM!!
#LulaEbolsonaroNaCadeia!
E
#MoroPresidenteE200mais!
Entendeu #Bivar? https://t.co/JvDvn05Xtt",1537605598661025794,0,0,1,883905349346091009,Twitter for iPhone,pt,2022-06-17 01:18:36+00:00,
18,"@Gisele_MS2 @liete_xavier @cirogomes 👇👇👇
https://t.co/5pMhAztmh2

Ciro é um cara que estima a ética, de ser contra o neoliberalismo, agora me responde, União Brasil (DEM e PSL) tem só pessoas inocentes e são contra o neoliberalismo? Será que o Ciro aponta o dedo p/ o PT, mas não tem teto de vidro?",1537605374609707017,0,1,0,1306058277642436610,Twitter Web App,pt,2022-06-17 01:17:43+00:00,
19,@thinkmoreBrazil Questão é: dá pra acreditar no Bivar?,1537605129838514179,0,0,0,1473739243398778884,Twitter for Android,pt,2022-06-17 01:16:44+00:00,
20,@Casullos @ThaisRMaschio Inocente é acreditar que Ciro vai fazer algo pelo povo se juntando à ACM Neto e Bivar.,1537604813789306881,0,2,0,1505467820582264834,Twitter for Android,pt,2022-06-17 01:15:29+00:00,
21,"@DionniMoura @liete_xavier @cirogomes Pesquisa Bivar e Haddad. Kkkkk. 
👇🏻👀 https://t.co/3LIBigyELy",1537604336569700352,0,0,0,1394979319743750146,Twitter Web App,pt,2022-06-17 01:13:35+00:00,
22,"#MoroPresidenteE200mais!
Ainda dá tempo #Bivar!
Ou… #MoroOuNulo! https://t.co/aeWmOgMaiT",1537603954464399362,0,0,0,883905349346091009,Twitter for iPhone,pt,2022-06-17 01:12:04+00:00,
23,"@Gisele_MS2 @liete_xavier @cirogomes Ah sim, aliança com Cabo Daciolo, Luciano Bivar, Datena, Gilberto Kassab, são super apoiadores do PND kkkkkkkkkkkkkkk me diz uma coisa? Luciano Bivar era presidente de qual partido mesmo e Bozo era de qual partido? kkkkk querem apontar o dedo ainda.

https://t.co/5pMhAztmh2",1537603782737117185,0,1,0,1306058277642436610,Twitter Web App,pt,2022-06-17 01:11:23+00:00,
24,"#MoroPresidenteE200mais!
#MoroOuNulo
#MoroÉoÚnicoQueGanhaDos2!
Pronto #bivar e @uniaobrasil44 só falta agora vocês realmente ouvirem a população que gosta da coisa certa, a grande massa silenciosa mas correta que prefere ANULAR e MUDAR O CONGRESSO à votar em corruPTos ou Boçais! https://t.co/HaDUECUGei",1537603118929674241,0,0,1,883905349346091009,Twitter for iPhone,pt,2022-06-17 01:08:45+00:00,
25,"@ESCSpinola @BheringPia #MoroPresidenteE200mais!
#MoroOuNulo
#MoroÉoÚnicoQueGanhaDos2!
Pronto #bivar e @uniaobrasil44 só falta agora vocês realmente ouvirem a população que gosta da coisa certa, a grande massa silenciosa mas correta que prefere ANULAR e MUDAR O CONGRESSO à votar em corruPTos ou Boçais!",1537603032002744324,0,0,0,883905349346091009,Twitter for iPhone,pt,2022-06-17 01:08:24+00:00,
26,"#MoroPresidenteE200mais!
#MoroOuNulo
#MoroÉoÚnicoQueGanhaDos2!
Pronto #bivar e @uniaobrasil44 só falta agora vocês realmente ouvirem a população que gosta da coisa certa, a grande massa silenciosa mas correta que prefere ANULAR e MUDAR O CONGRESSO à votar em corruPTos ou Boçais! https://t.co/drIg2FOvTR",1537602958623395841,0,0,1,883905349346091009,Twitter for iPhone,pt,2022-06-17 01:08:07+00:00,
