,geo_full_name,geo_id,geo_x1,geo_x2,geo_y1,geo_y2
0,"Belo Horizonte, Brasil",d9d978b087a92583,-20.059816,-44.062789,-19.777568,-43.856856
1,"Porto Alegre, Brasil",894146230dd1d42d,-30.2688069,-51.3061478,-29.9308654,-51.012471
2,"Granada, Colombia",0096993c660d6682,3.317445999446,-73.861248002719,3.61161799906138,-73.6180709962946
3,"Fortaleza, Brasil",d16815010421ff73,-3.88818,-38.638212,-3.691356,-38.401568
4,"Igarassu, Brasil",7a45b334071b6fb1,-7.899937,-35.101245,-7.6916672,-34.840488
5,"Manaus, Brasil",45e3bce63f2beeee,-3.221228,-60.802071,-1.923622,-59.15858
0,"São Paulo, Brasil",68e019afec7d0ba5,-24.008814,-46.826039,-23.356792,-46.365052
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
