,text,id,retweets,replys,likes,author_id,source,lang,created_at,place_id
0,@proftulionit No mundo paralelo que o bolsonaro criou para ele e seus seguidores tudo é possível.,1.537650550095098e+18,0.0,0.0,0.0,1.3822477725736837e+18,Twitter Web App,pt,2022-06-17 04:17:13+00:00,
1,"@rewel_ale @vitiinhooii @choquei Mano vc é muito burro
Bolsonaro bandidao safado",1.5376505207390085e+18,0.0,0.0,0.0,1.4907750748273828e+18,Twitter for Android,pt,2022-06-17 04:17:06+00:00,
2,@sartoprefeito12 Grande trabalho. Quero viver no CE. Único estado do Brasil em que Bolsonaro não teria sequer ido ao Segundo Turno.,1.5376505101357138e+18,0.0,0.0,0.0,1.358167916986925e+18,Twitter for Android,pt,2022-06-17 04:17:04+00:00,
3,"@Leonard04185098 No dia, vão perder e Bolsonaro vai pra cadeia 2 semanas depois. Depois de 1 de janeiro, ali pro dia 15, eu volto aqui. 🤣",1.5376505029592596e+18,0.0,0.0,0.0,1633006844.0,Twitter for Android,pt,2022-06-17 04:17:02+00:00,
4,O cachorrinho do bolsonaro acha que rusnando vai melhorar a 💩 que o #VagabundoDaRepublica fez!🤦🏻‍♀️🤬🤬🤬 https://t.co/jrpeAyMeLP,1.5376504780199035e+18,0.0,0.0,0.0,1.144780085985198e+18,Twitter for Android,pt,2022-06-17 04:16:56+00:00,
5,Sou Bolsonaro https://t.co/Cm2MAXFJkF,1.5376504764932874e+18,0.0,0.0,0.0,4800166102.0,Twitter for Android,pt,2022-06-17 04:16:56+00:00,
6,"@WSJ Bolsonaro is lying to the world, betraying USA and Europe. Do not put your Money in Brasil. Do not buy Agricultural products from Brazil. It has pesticide in very high and dangerous levels.",1.5376504270465966e+18,0.0,0.0,0.0,1.1311699495133224e+18,Twitter for Android,en,2022-06-17 04:16:44+00:00,
7,"O segundo criminoso foi preso no dia 14. Ou seja, oito dias depois da comunicação do desaparecimento, o crime estava elucidado.
Como esses mentirosos têm coragem de dizer que o Governo Bolsonaro não agiu?",1.53765041193028e+18,0.0,0.0,0.0,1.199124911186436e+18,Twitter for Android,pt,2022-06-17 04:16:41+00:00,
8,@ricardo181179 Sou Bolsonaro,1.5376504090656645e+18,0.0,0.0,0.0,4800166102.0,Twitter for Android,pt,2022-06-17 04:16:40+00:00,
9,"@TheEconomist Bolsonaro is lying to the world, betraying USA and Europe. Do not put your Money in Brasil. Do not buy Agricultural products from Brazil. It has pesticide in very high and dangerous levels.",1.5376503947630756e+18,0.0,0.0,0.0,1.1311699495133224e+18,Twitter for Android,en,2022-06-17 04:16:36+00:00,
10,"Bruno Pereira and Dom Phillips' cruel murders are the latest in a series of brutal attacks against Indigenous communities in Brazil. 

@BorisJohnson, when will you stand up to Bolsonaro? #JusticeForDomAndBruno https://t.co/KrmzfuVHN7",1.5376503864539423e+18,0.0,0.0,0.0,217644966.0,Twitter Web App,en,2022-06-17 04:16:34+00:00,
11,"@AP @khightower Bolsonaro is lying to the world, betraying USA and Europe. Do not put your Money in Brasil. Do not buy Agricultural products from Brazil. It has pesticide in very high and dangerous levels.",1.5376503622865428e+18,0.0,0.0,0.0,1.1311699495133224e+18,Twitter for Android,en,2022-06-17 04:16:29+00:00,
12,@JanainaDoBrasil E qtos milicianos ligados a Bolsonaro Dra? Trabalhando no gabinete do filho eqto Deputado? No condomínio dele...,1.537650339477959e+18,0.0,0.0,0.0,1.1156904648568177e+18,Twitter for Android,pt,2022-06-17 04:16:23+00:00,
13,@GadoDecider https://t.co/astRhhBJdn,1.5376503196472934e+18,0.0,0.0,0.0,205445817.0,Twitter for Android,qme,2022-06-17 04:16:19+00:00,
14,@Senhor_Werner borsalino pq parece bolsonaro,1.5376503047617044e+18,0.0,0.0,1.0,1.524081575503274e+18,Twitter Web App,pt,2022-06-17 04:16:15+00:00,
15,"@JoseJabinal @pauloeneas Bolsonaro foi presidenciável e presidente eleito, até antes de se cercar de más companhias dentre ministros, líderes, e correligionários, depois de ter passado 28 anos no congresso. Não tente transformar histórico, discurso e bandeiras de uma agenda, numa metamorfose ambulante.",1.5376503030630195e+18,0.0,1.0,0.0,2700299806.0,Twitter Web App,pt,2022-06-17 04:16:15+00:00,
16,"@ReutersBiz Bolsonaro is lying to the world, betraying USA and Europe. Do not put your Money in Brasil. Do not buy Agricultural products from Brazil. It has pesticide in very high and dangerous levels.",1.537650280132665e+18,0.0,0.0,0.0,1.1311699495133224e+18,Twitter for Android,en,2022-06-17 04:16:09+00:00,
17,"@guardian Just a reminder when bolsonaro proposed to Al Gore (!!!) ""exploring"" together the amazon forest resources

https://t.co/F2bW0wjfAa",1.5376502626508022e+18,0.0,0.0,1.0,1.2644097247343862e+18,Twitter for Android,en,2022-06-17 04:16:05+00:00,
18,"@CarlosCAlmeida3 @robertatopthe Antes de Bolsonaro, a Amazônia era um jardim do Éden.",1.5376502599580467e+18,0.0,0.0,0.0,1.517515259191472e+18,Twitter for iPhone,pt,2022-06-17 04:16:04+00:00,
19,Jamil Chade - Assassinatos 'sepultam' planos de Bolsonaro no exterior e aprofundam crise https://t.co/HT58y6lGKr via @UOLNoticias @UOL,1.5376502494806753e+18,0.0,0.0,0.0,1.5081724674744238e+18,Twitter Web App,pt,2022-06-17 04:16:02+00:00,
20,@mluizabr @Juh_Arruda35 @mangoni65 sua família é compostas por imundos!!! Bolsonaro neles em 2022,1.5376502460959744e+18,0.0,0.0,0.0,1.5376395324762153e+18,Twitter for Android,pt,2022-06-17 04:16:01+00:00,
21,"@da_goiabeira Verdade, a gente viu isso no esfaqueamento do Bolsonaro. 

Esse Jesus tá cheirando pó de hóstia....",1.537650245236052e+18,0.0,0.0,0.0,37037274.0,Twitter Web App,pt,2022-06-17 04:16:01+00:00,
22,@JenoOliveiraa O PT abandonou 8 mil obras em 13 anos e Bolsonaro concluiu 6 mil dessss obras em 3 anos sem corrupção e sem super faturamento!,1.5376502411844485e+18,0.0,0.0,0.0,114909944.0,Twitter for Android,pt,2022-06-17 04:16:00+00:00,
23,@Joaquinteixeiro Voto no CAPITAO  bolsonaro,1.5376502322127176e+18,0.0,0.0,0.0,1.3715265435420017e+18,Twitter for Android,pt,2022-06-17 04:15:58+00:00,
24,"🗣️🎙️📺
FRED RODRIGUES
Assista a ""Bolsonaro Responde Sobre Perdão a Allan dos Santos!"" no YouTube
https://t.co/5rMDJ7CPsr",1.5376502103730463e+18,0.0,0.0,0.0,1.276205209874768e+18,Twitter for Android,pt,2022-06-17 04:15:52+00:00,{'place_id': '68e019afec7d0ba5'}
25,@gata_bolsonaro Olha como de fato foi!!! Tinha quase ninguém no Arena das Dunnas!!! https://t.co/z2aqEAdVKM,1.537650195499975e+18,0.0,0.0,0.0,701962890.0,Twitter for Android,pt,2022-06-17 04:15:49+00:00,{'place_id': 'eb064d2fe812dac8'}
26,"Provavelmente hoje será anunciado um novo aumento nós combustíveis e o que vemos é um governo choramingando com a Petrobrás. Os capachos dos ricos só sabem fazer isso, Bolsonaro, Ciro nogueira e Lira, ficam gemendo dentro dos seus palácios. A canalhice em fazer de conta é demais.",1.5376501943088087e+18,0.0,0.0,0.0,9.243239052837316e+17,Twitter for Android,pt,2022-06-17 04:15:49+00:00,
27,# VOTE EM CIRO GOMES E SE LIVRA DE LULA &amp; BOLSONARO https://t.co/cxoj8H4aGn,1.5376501855636685e+18,0.0,0.0,0.0,1.350616187198202e+18,Twitter for Android,pt,2022-06-17 04:15:47+00:00,
28,"é isso que eu sempre falo, bolsonaro prega Jesus e faz tudo ao contrário do que ele disse. https://t.co/Q4m18MT6Y4",1.537650180593533e+18,0.0,0.0,0.0,1.0500648935782688e+18,Twitter for iPhone,pt,2022-06-17 04:15:45+00:00,
29,"@lemondefr Bolsonaro is lying to the world, betraying USA and Europe. Do not put your Money in Brasil. Do not buy Agricultural products from Brazil. It has pesticide in very high and dangerous levels.",1.5376501798343188e+18,0.0,0.0,1.0,1.1311699495133224e+18,Twitter for Android,en,2022-06-17 04:15:45+00:00,
30,@gzhdigital @revista_donna E o Kiko!? Kikoqueeutenhocomisso!? Kkkkk falta de notícias!? Falem mais do Bolsonaro kkkkk.  Vivem disso,1.5376501405546086e+18,0.0,0.0,0.0,203770486.0,Twitter for iPhone,pt,2022-06-17 04:15:36+00:00,
31,@OproprioPoindex Olha... Sobre essa entrevista eu senti que Bolsonaro não percebeu que o que ele fez é errado. Ele sente como se tivesse fazendo um grande favor aos irmãos. E eu não tô passando pano não. Ele deixou escancarada uma gravíssima falha de caráter.,1.5376501368215347e+18,0.0,0.0,0.0,166059151.0,Twitter for Android,pt,2022-06-17 04:15:35+00:00,{'place_id': '68e019afec7d0ba5'}
32,"****BRASIL E GOVERNADO POR PAULO GUEDES E GEORGE SOROS

****NAO ADIANTA CHORAR, BRASIL FOI ENTREGUE E SE CONTINUAR COM O TESTA DE FERRO DE PAULO GUEDES E GEORGE SOROS, O SR BOLSONARO, BRASILEIRO SERÁ AINDA MAIS MALHADO POR ESTRANGEIROS

****EIS A REALIDADE SEM PERSEGUIR NINGUÉM",1.5376501324679946e+18,0.0,0.0,0.0,1.5165908080482796e+18,Twitter for iPhone,pt,2022-06-17 04:15:34+00:00,
33,"@LulaOficial @fatimabezerra @ricardostuckert @geraldoalckmin Da até pra prevê o próximo discurso do Lula.
-Pobreza
-Fome
-Indigenista
-Bolsonaro
-Petrobras
-Desemprego

Ele fala dos problemas mas não fala da solução, de como melhorar, ai até papagaio faz melhor. 

Falar oque eles querem ouvir é  fácil, falar bonito para garimpar voto!",1.5376501293474363e+18,0.0,0.0,0.0,1.4793272812523889e+18,Twitter Web App,pt,2022-06-17 04:15:33+00:00,
34,"@fabifbbr @JovemPanNews E tem político, que além de tirar proveito, comemora a morte de alguém

https://t.co/X13JggTIIi https://t.co/xDUf2aIEgV",1.5376501230686085e+18,0.0,0.0,0.0,1.180875149219963e+18,Twitter Web App,pt,2022-06-17 04:15:32+00:00,
35,"EM ALGUNS DIAS DESCOBRIRAM E SOLUCIONARAM OS ASSASSINATOS DENTRO DA MATA,E QUATRO ANOS SE PASSARAM E NINGUÉM TEVE INTERESSE EM SABER QUEM MANDOU MATAR BOLSONARO.",1.5376501039005942e+18,0.0,0.0,1.0,172519891.0,Twitter for Android,pt,2022-06-17 04:15:27+00:00,
36,Lembro do quão desesperados foram meus apelos em 2018 pra ninguém votar no Bolsonaro. De quanta briga eu arrumei. Dos amigos com quem rompi porque era questão de vida ou morte. E fico triste em constatar que sim eu estava completamente certo e muitos dessa turma não mudaram nada,1.5376501023823012e+18,5.0,0.0,32.0,3317555339.0,Twitter for iPhone,pt,2022-06-17 04:15:27+00:00,
