,geo_full_name,geo_id,geo_x1,geo_x2,geo_y1,geo_y2
0,"Bezerros, Brasil",4f70f6eb7bf9bb1c,-8.386884,-35.9167916,-8.104483,-35.630465
1,"Nova Iguaçu, Brasil",4029837e46e8e369,-22.865838,-43.681932,-22.527218,-43.366801
2,"Salinas, Brasil",02eb35f8e63fe040,-16.322423,-42.425027,-15.85037,-41.842603
3,"Belém, Brasil",f3587bc643e7d7b8,-1.526453,-48.623684,-1.019406,-48.295911
4,"Iguaba Grande, Brasil",54251b9c04a2b508,-22.879732,-42.254623,-22.781187,-42.177457
5,"Rio de Janeiro, Brasil",97bcdfca1a2dca59,-23.08302,-43.795449,-22.7398234,-43.0877068
0,"Rio de Janeiro, Brasil",97bcdfca1a2dca59,-23.08302,-43.795449,-22.7398234,-43.0877068
1,"São Paulo, Brasil",68e019afec7d0ba5,-24.008814,-46.826039,-23.356792,-46.365052
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
