,text,id,retweets,replys,likes,author_id,source,lang,created_at,place_id
0,"Santos escalado para o confronto contra o Coritiba pelo Paulistão!: Gabigol, Ricardo Oliveira, Bryan Ruiz, Fábio Carille, Lucas Pires, Marcos Leonardo, Gerson Magrão, Andrés Rueda, Camacho, Tiago Leifert e Péricles.",1.5375158048323297e+18,0.0,0.0,0.0,1.3941205318682747e+18,"Cheap Bots, Done Quick!",pt,2022-06-16 19:21:48+00:00,
1,"Reafirmamos o nome do Leonardo Péricles, aprovado no último Congresso Nacional do partido como pré-candidato à presidência da República.",1.5375003480421622e+18,1.0,1.0,13.0,1.2174865568412467e+18,Twitter for Android,pt,2022-06-16 18:20:23+00:00,
2,"In April 1501 Leonardo had only finished the cartoon, and this all Florence flocked to see and admire.Pericles learned to love and admire him and the poet Eurip",1.5372539015225467e+18,0.0,0.0,0.0,1.4639895752949924e+18,App-Auto-DM-tweet-TG_t1z0z,en,2022-06-16 02:01:05+00:00,
3,"Simone Tebet-a)https://t.co/T338vUaFGn
b)https://t.co/9ZmpujjsDE
Luciano Bivar-???

Felipe d'Avila-a)https://t.co/WQ7oseUt6Q
b)https://t.co/mSzYSYEke1

André Janones-https://t.co/NKLMCQDoRA

Leonardo Péricles-https://t.co/PsQzTmoGaP

Pablo Marçal-https://t.co/GdQMdHI3NJ",1.537232825929601e+18,0.0,1.0,0.0,1.4466726264123963e+18,Twitter for Android,es,2022-06-16 00:37:20+00:00,
4,"@LuizLeitao59 Empatados, André Janones (Avante) e Felipe D’ávila (Novo) estão com 1% cada. Os demais nomes testados não pontuaram. Mas de acordo com a pesquisa, José Maria Eymael (DC), Vera Lúcia (PSTU), Sofia Manzano (PCB), Leonardo Péricles (UP), Luciano Bivar (União Brasil) e Pablo Marçal",1.5371914088005222e+18,0.0,2.0,1.0,1.247266269964968e+18,Twitter for Android,pt,2022-06-15 21:52:46+00:00,
5,@Jheitor7 Leonardo comendo sorvete enquanto Péricles fala sobre chuva ácida,1.5371510017817313e+18,0.0,0.0,0.0,1.2010529653705196e+18,Twitter Web App,pt,2022-06-15 19:12:12+00:00,
6,@AgendaDoJair Leonardo pericles,1.537127299207811e+18,0.0,0.0,0.0,9.569443495599718e+17,Twitter for Android,ca,2022-06-15 17:38:01+00:00,
7,"Nesta terça-feira (14), o pré-candidato à presidência da República pela Unidade Popular (UP) @UP80BR, Leonardo Péricles, realizou uma plenária no Instituto Central de Ciências (ICC) da Universidade de Brasília.

[+] https://t.co/CmCX0WDZV2",1.5368412906667172e+18,18.0,1.0,134.0,1.3241569024278075e+18,Twitter for Android,pt,2022-06-14 22:41:31+00:00,
8,"Hoje eu conheci pessoalmente o Leonardo Péricles @LeoPericlesUP, pré-candidato à presidência da República pela Unidade Popular (UP).

Preto, morador de ocupação e que tem a chama da luta periférica em suas veias.

Ele me concedeu uma entrevista exclusiva. 

Em breve, novidades! https://t.co/cVchww16Lb",1.5368365992704983e+18,0.0,0.0,23.0,1.3241569024278075e+18,Twitter for Android,pt,2022-06-14 22:22:52+00:00,
9,@SRivoltril Parece que Pablo Marçal também empata com Leonardo Péricles no segundo turno. 🙄,1.536728227368026e+18,0.0,0.0,0.0,1.32596273515955e+18,Twitter for Android,pt,2022-06-14 15:12:15+00:00,
10,"Dos ativos? Leonardo Péricles (UP), a do PCB e a do PSTU. Sem pestanejar. https://t.co/QK3xnyuX2d",1.5367081684069253e+18,0.0,0.0,0.0,1.530345521797374e+18,Twitter for Android,pt,2022-06-14 13:52:32+00:00,
11,"@niefraim Eu tenho me decepcionado muito com o Lula, principalmente com as alianças com golpistas.

Me vejo obrigado a votar no Leonardo Péricles, talvez o candidato mais próximo da minha realidade e um ativista assíduo nas quebradas.",1.536544145719931e+18,1.0,3.0,9.0,1.3993947840165356e+18,Twitter for Android,pt,2022-06-14 03:00:46+00:00,
12,"@g1 Chamem o Leonardo Péricles, dêem a chance dele mostrar que é o candidato certo.

Chega de chamar pra entrevista e debate só os mesmos.",1.536444677146157e+18,0.0,3.0,3.0,9.417145043789332e+17,Twitter for Android,pt,2022-06-13 20:25:31+00:00,
13,"@viniciusduarte Se somar as intenções de voto do Ciro, Janones, Tebet, Pablo Marçal, Vera Lúcia, Eymael, Felipe D'Avila, Sofia Manzano, Bivar, Gal Santos Cruz, Leonardo Péricles mais brancos, nulos, não vai votar e indecisos dá 24%, pouco mais da metade da rejeição do Ciranha.",1.5363890474421903e+18,0.0,0.0,3.0,861418220.0,Twitter for Android,pt,2022-06-13 16:44:28+00:00,
14,"@marcelopjs @cirogomes Na última pesquisa o Ciro, Janones, Tebet, Pablo Marçal, Vera Lúcia, Eymael, Felipe D'Avila, Sofia Manzano, Bivar, Gal Santos Cruz, Leonardo Péricles mais brancos, nulos, não vai votar e indecisos somavam 24%. Acho que não precisa de barragem, cabe tudo num balde.",1.5363791179391836e+18,1.0,0.0,21.0,861418220.0,Twitter for Android,pt,2022-06-13 16:05:00+00:00,
15,"chamem o Leonardo Péricles da Unidade Popular também!! 

@LeoPericlesUP e @UP80BR https://t.co/yRYNia8uMf https://t.co/6BnSkfNCVE",1.5363457925075722e+18,0.0,0.0,2.0,1.427322982972674e+18,Twitter Web App,pt,2022-06-13 13:52:35+00:00,
16,"Pericles está para Fídias, assim como Lourenço de Médici está para Leonardo da Vinci ou a Rainha Elizabeth I está para William Shakespeare... Meu Deus, o que houve com nosso século?",1.536078389060182e+18,0.0,0.0,5.0,16876057.0,Tweetbot for Mac,pt,2022-06-12 20:10:01+00:00,
17,"Simplesmente Leonardo Péricles
Vou votar 80 pra presidente

Feliz dia dos namorados https://t.co/tMD2sEoCAh",1.536053383303467e+18,0.0,1.0,1.0,1.3959298610138358e+18,Twitter for Android,pt,2022-06-12 18:30:39+00:00,
18,"Antônio fará 1 ano dia 16 de Junho. Maria do Amparo Araújo, sobrevivente, ligou de Recife lembrando q ela e Ariano Suassuna (amigo de Vitor) fazem anos no mesmo dia. Disse q estava hospedando Leonardo Péricles, candidato da UP a presidente, e preparava caldeirada c/ muita Lula...",1.5360475373245358e+18,0.0,1.0,3.0,76467937.0,Twitter Web App,pt,2022-06-12 18:07:25+00:00,
19,"In April  Leonardo had only finished the cartoon, and this all Florence flocked to see and admire.Pericles learned to love and admire him and the poet Euripides https://t.co/ocUOiVUGys",1.5358905121917583e+18,0.0,0.0,0.0,1.4536908102311813e+18,App-Auto-DM-tweet-TG_t1z0z,en,2022-06-12 07:43:28+00:00,
20,"Pesquisa Outra realidade paralela confirma:
Luciano Bivar vence no primeiro turno.
Indo contramão as outras pesquisas, essa revela seguinte cenário:
Luciano Bivar: 54%
Sofia Manzano : 22%
Leonardo Péricles: 8%
Professor Gianfranco: 6%
Simone Tebet: 2%

Brancos e nulos: 8%",1.5358168141560422e+18,0.0,0.0,0.0,1.523815990836015e+18,Twitter Web App,pt,2022-06-12 02:50:37+00:00,
21,"não falou nada de errado mas me pega um pouco quando os caras falam em “se rebelar” e ai vc pergunta a solução e falam em votar no ciro

votem em sofia manzano e leonardo pericles, organizem-se no PCB, no PCR e nos seus respectivos coletivos e movimentos

construa o poder popular https://t.co/edmtLb3LY2",1.535735172842373e+18,0.0,1.0,2.0,1.2345894353810637e+18,Twitter for iPhone,pt,2022-06-11 21:26:12+00:00,
22,@futebol_pontual Leonardo Péricles 80,1.5354415023310848e+18,0.0,0.0,1.0,2919984021.0,Twitter for Android,es,2022-06-11 01:59:15+00:00,
23,"@Olhar_Olimpico Demétrio, apenas três candidatos não têm buscado o voto da direita: Leonardo Péricles, Vera Lúcia e Sofia Manzano.",1.5352327080912978e+18,0.0,0.0,1.0,1414270560.0,Twitter Web App,pt,2022-06-10 12:09:35+00:00,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
0,@FAD_RS_2015 @Isabelaisasousa @eistany @demiranda56 @PauIoGuedes E quem disse que eu vou votar no Lula? Pelo amor de Deus kkkkkkkkk Leonardo Péricles tem meu voto desde que o UP declarou a pré-candidatura.,1.548092356468953e+18,0.0,1.0,0.0,9.358765230469652e+17,Twitter for Android,pt,2022-07-15 23:49:14+00:00,
1,"🔄ATUALIZAÇÃO: Leonardo Péricles (@LeoPericlesUP), do Unidade Popular, me confirmou hoje que formaliza candidatura ao Planalto em convenção no próximo dia 24 de julho. O evento deve acontecer em Natal, capital do Rio Grande do Norte.",1.5480882692497285e+18,0.0,0.0,0.0,8.609858753286431e+17,Twitter Web App,pt,2022-07-15 23:33:00+00:00,
2,"Leonardo Péricles: “Nos querem encarcerados e mortos, não candidatos!”
https://t.co/jprrhXIvS4",1.548052241730261e+18,3.0,0.0,11.0,1.445471936893444e+18,Twitter Web App,pt,2022-07-15 21:09:50+00:00,
3,"@jcartsprint @grdszll @jairbolsonaro graças a deus e a boa atuação do partido Unidade Popular, meu voto já é de Leonardo Péricles",1.5479860166355354e+18,0.0,0.0,0.0,1.151971758486016e+18,Twitter for Android,pt,2022-07-15 16:46:41+00:00,
4,"@med776 @GloboNews Aí já é bola de cristal.

Não dá pra saber se ele não teria atirado numa festa cuja temática é Leonardo Péricles.",1.547982972334121e+18,0.0,0.0,0.0,1.4549668580215808e+18,Twitter for Android,pt,2022-07-15 16:34:35+00:00,
5,"faz o L 
Leonardo Péricles",1.5477927351003177e+18,0.0,0.0,0.0,4852769195.0,Twitter for Android,pt,2022-07-15 03:58:39+00:00,
6,"🔄Os presidenciáveis Simone Tebet, do MDB, e Leonardo Péricles, da UP, ainda não definiram a data e o local das suas convenções partidárias. Tebet conta com o apoio da federação PSDB-Cidadania, enquanto Péricles não fechou nenhuma aliança com outra legenda.",1.547739556593537e+18,0.0,1.0,0.0,8.609858753286431e+17,Twitter Web App,pt,2022-07-15 00:27:20+00:00,
7,"@Elis_Araujo13 Votei no Lula e na Dilma duas vezes; uma no Haddad. Nesse eleição, no primeiro turno, votarei no Leonardo Péricles, da UP. No segundo turno, votarei contra o Bolsonaro, porque sei que a UP não estará lá. Espero que o Lula faça um governo popular e não neoliberal. Posso esperar?",1.547650720366637e+18,0.0,0.0,0.0,1.1106678356368794e+18,Twitter Web App,pt,2022-07-14 18:34:20+00:00,
8,"Não tem jeito, em outubro deste ano estarei votando no meu mano Leonardo Péricles.",1.5476336125471703e+18,0.0,0.0,0.0,1.3995866820060815e+18,Twitter Web App,pt,2022-07-14 17:26:21+00:00,
9,"@SimonPricker @FGuerreiroMEP @cirogomes Curioso que ninguém vê nenhum bot petista ir todo dia nas redes dizer que o Leonardo Pericles é irrelevante! Vou te dar uma dica: quando um candidato é de fato irrelevante, as pessoas o relevam... sua preocupação e ataque mostram a relevância de Ciro!",1.5476066843354235e+18,0.0,0.0,3.0,1.372451438631215e+18,Twitter Web App,pt,2022-07-14 15:39:21+00:00,
10,Leonardo Pericles Humilhando os abandonados no dia de hoje nos stories AI É TRISTE,1.5476017847465697e+18,0.0,0.0,2.0,375686456.0,Twitter for Android,pt,2022-07-14 15:19:53+00:00,{'place_id': 'd9d978b087a92583'}
11,"@antonionetopdt @AmandaPDT12 @cirogomes Procurem a Vera Lúcia, o Leonardo Péricles, o Partidão. Não adianta bater no rentismo, e SEM BASE POPULAR, querer bancar aliança com centrão acusando o PT de fazer o mesmo. Vocês estão a beira de implodir com esse oportunismo bizarro.",1.547595893435601e+18,0.0,1.0,0.0,69571630.0,Twitter Web App,pt,2022-07-14 14:56:28+00:00,
