,geo_full_name,geo_id,geo_x1,geo_x2,geo_y1,geo_y2
0,"Brasília, Brasil",5722ff20ba67083b,-16.0524045,-48.285982,-15.5001029,-47.307264
1,"Porto Alegre, Brasil",894146230dd1d42d,-30.2688069,-51.3061478,-29.9308654,-51.012471
2,,,,,,
3,,,,,,
4,,,,,,
0,"Franca, Brasil",1a25ff74971944c8,-20.7729,-47.552804,-20.41715,-47.141516
1,"Jaú, Brasil",ae3c0053ccc13206,-22.4801388,-48.7314027,-22.121978,-48.341795
2,"Rio de Janeiro, Brasil",97bcdfca1a2dca59,-23.08302,-43.795449,-22.7398234,-43.0877068
3,"São Gonçalo, Brasil",d1fc0c973adbff22,-22.90907,-43.1504483,-22.73386,-42.885968
4,"Barra Velha, Brasil",0e60e12b93a0ab0f,-26.740366,-48.8087155,-26.55542,-48.662596
