,geo_full_name,geo_id,geo_x1,geo_x2,geo_y1,geo_y2
0,"Gurupi, Brasil",7bdb0399a9e02f18,-11.962539,-49.180066,-11.353907,-48.5696866
1,"Suzano, Brasil",16033d44e2a52bd1,-23.744544,-46.383216,-23.488594,-46.254435
2,"Teresina, Brasil",8bc4eeacf63235f9,-5.5866025,-42.9706787,-4.7860339,-42.5989669
3,"São Paulo, Brasil",68e019afec7d0ba5,-24.008814,-46.826039,-23.356792,-46.365052
4,"Cristalina, Brasil",cd891313d4933799,-17.355942,-47.8956341,-16.0501582,-47.125933
5,"Brasília, Brasil",5722ff20ba67083b,-16.0524045,-48.285982,-15.5001029,-47.307264
0,"Taubaté, Brasil",86e95544e795e190,-23.22441,-45.723444,-22.947623,-45.289866
1,"São Paulo, Brasil",68e019afec7d0ba5,-24.008814,-46.826039,-23.356792,-46.365052
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
