,text,id,retweets,replys,likes,author_id,source,lang,created_at,place_id
0,"já dizia sofia manzano, o comunismo é a ideia mais generosa que a humanidade já produziu! https://t.co/Y0MUydzdyo",1.537635711268098e+18,0.0,0.0,0.0,215858830.0,Twitter for iPhone,pt,2022-06-17 03:18:16+00:00,
1,"quero muito votar na sofia manzano
IMPOSSÍVEL TANKAR O BOSTIL QUE NÃO A CONHECE",1.5376078731732828e+18,0.0,0.0,0.0,1.4937467091631718e+18,Twitter for Android,pt,2022-06-17 01:27:38+00:00,
2,vou votar na sofia manzano fodase,1.5376067877797683e+18,0.0,2.0,0.0,1.4463144225033626e+18,Twitter Web App,pt,2022-06-17 01:23:20+00:00,
3,"Muito obrigado pela solidariedade da camarada Sofia Manzano, Pré Candidata à Presidência da República pelo PCB.

#glauberfica
#equipe https://t.co/aSdDUCjfnm",1.5375694010204897e+18,41.0,14.0,425.0,65720380.0,Twitter for iPhone,pt,2022-06-16 22:54:46+00:00,
4,@TatianaPiresBr @guilhermesparr2 @FernandoHortaOf Entenda algo PT/Lula é um partido democrata pro social. Estamos no Brasil. Por isso minha candidata é Sofia Manzano PCB. Estamos construindo a candidatura de esquerda pelo Poder Popular dos trabalhadores. A opção do Alckmin c vice uma opção do PT e óbvio votarei no Lula 2° turno,1.5375678343179346e+18,0.0,1.0,1.0,1.0844309128703222e+18,Twitter for Android,pt,2022-06-16 22:48:32+00:00,
5,MUITO IMPORTANTE a Sofia Manzano pontuando também. O PCB aos pouquinhos vem ganhando notoriedade. Figurar na pesquisa num estado conservador como o nosso é um grande avanço,1.537565107458388e+18,0.0,0.0,0.0,1042226072.0,Twitter for Android,pt,2022-06-16 22:37:42+00:00,
6,"@Palomabm @HarrissonCorre1 E o Cirão que dizia que o Bolsonaro não era ameaça para a democracia heim?
Por isso mesmo vou de esquerda radical que não muda de lado nem de posição, vou de Sofia Manzano",1.5375589368947098e+18,0.0,1.0,0.0,49702140.0,Twitter Web App,pt,2022-06-16 22:13:11+00:00,
7,"@dias_beag Papo reto, acho que me identifico mais com as pautas do PCB da Sofia Manzano, mas votar no Lula é a estratégia mais consciente no momento, depois que as regras da democracia voltarem a funcionar, podemos ampliar melhor o debate",1.5375494364899656e+18,0.0,0.0,0.0,1.48647168750805e+18,Twitter for Android,pt,2022-06-16 21:35:26+00:00,
8,"@BattleCossack @domingoparque @CavalcFa @pescador_jp @BrianMteleSUR Tipo ""Sofia Manzano mora nos Jardins!"". (Claro, ela acorda de madrugada pra pegar o avião pra Salvador, depois vai pra Vitória da Conquista dar aula na UESB, dá comida pros cachorros de lá, e volta pros Jardins).

Falando nisso, o domicílio do Alckmin é no Brás né?",1.5375493364139827e+18,0.0,0.0,1.0,7.116571661056082e+17,Twitter Web App,pt,2022-06-16 21:35:02+00:00,
9,"Críticas dos PCBistas a Lula:
- caráter da política;
- alianças;
- necessidade de radicalização;

Críticas dos PTistas à Sofia Manzano:
- mentiras sobre nacionalidade e domicílio;
- ""não é conhecida pelo povão"" (e Haddad e a Dilma eram em 2010-12?);
- ""Lulalckmin é bacaninha"".",1.5375486187098358e+18,0.0,0.0,5.0,7.116571661056082e+17,Twitter Web App,pt,2022-06-16 21:32:11+00:00,
10,"Solidariedade ao Dep. Glauber Braga, por Sofia Manzano.
#GlauberFICA 
#ForaLira https://t.co/3sEo2tRYg7",1.5375476900321116e+18,1.0,0.0,1.0,3247324247.0,Twitter for Android,pt,2022-06-16 21:28:30+00:00,
11,@LeilaGermano Acho doido que a Sofia Manzano tem 1% lá,1.5375463164689162e+18,0.0,0.0,2.0,4849892589.0,Twitter for Android,pt,2022-06-16 21:23:02+00:00,
12,"pesquisa eleitoral para governo e presidente no RS tá um chorume. o ponto de sofia manzano é o que aquece o coração, pontuou pela primeira vez no RS",1.5375373551831777e+18,0.0,1.0,21.0,1.3819778040158167e+18,Twitter Web App,pt,2022-06-16 20:47:26+00:00,
13,"@phlimasi @Danielsmarconn Não acho que faça sentido essa falsa equivalência envie eles, mas de qualquer forma eu vou de Sofia Manzano no primeiro turno.",1.537484008896217e+18,0.0,1.0,2.0,137819636.0,Twitter for Android,pt,2022-06-16 17:15:27+00:00,
14,"@renataloprete @RenanPeixoto_ Olá, @renataloprete
Como eleitor, gostaria muito de ver uma entrevista com a Sofia Manzano, pré-candidata à Presidência pelo PCB.
@SofiaManzanoPCB",1.537474044265648e+18,0.0,0.0,3.0,164070646.0,Twitter Web App,pt,2022-06-16 16:35:51+00:00,
15,"@priscillalleite Vcs conhecem Sofia Manzano 

@SofiaManzanoPCB",1.5374690532116562e+18,0.0,0.0,1.0,1.1972947475110666e+18,Twitter for Android,pt,2022-06-16 16:16:01+00:00,
16,"@BattleCossack @CavalcFa @pescador_jp @BrianMteleSUR Parece que votar na italiana Sofia Manzano, q nenhum trabalhor conhece,é bem mais viável pra mudar alguma coisa igual vcs fizeram revolução nos gov do Hitler. Coincidência os bolzominons dizem o mesmo viu projeto de gente! Danone privilegiado q a fome te alcance e vc vire gente",1.5374684970511237e+18,0.0,2.0,2.0,2395003038.0,Twitter Web App,pt,2022-06-16 16:13:49+00:00,
17,em tudo quanto é pesquisa a simone tebet tá empatada com a sofia manzano mas a imprensa finge que uma é candidata competitiva e a outra simplesmente não existe,1.537419773797081e+18,4.0,0.0,32.0,3225903749.0,Twitter for Android,pt,2022-06-16 13:00:12+00:00,
18,"Povos Originários, uma luta anticapitalista: as urgentes demandas dos povos originários

O Canal do Jornal O Poder Popular realiza no próximo dia 17/06 (sexta), às 18 horas, um  programa muito especial, que reunirá a camarada Sofia Manzano, pré-candidata à presidência da + https://t.co/hXtsJbfJsY",1.537415834209067e+18,11.0,1.0,38.0,9.638792636058542e+17,Twitter for Android,pt,2022-06-16 12:44:33+00:00,
19,"@CentralEleicoes Sofia Manzano com mais votos que o D'Ávila.
É fim do partido Ovo KKKKKK e o Nosso Lula ganhando do Miliciano no seu território.",1.5374013012434166e+18,0.0,0.0,28.0,1.4161274944790364e+18,Twitter for Android,pt,2022-06-16 11:46:48+00:00,
