,geo_full_name,geo_id,geo_x1,geo_x2,geo_y1,geo_y2
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
0,"Natal, Brasil",a4ddc3856053f7e1,-5.897826,-35.2911777,-3.8517709,-33.8094403
1,"Salvador, Brasil",e60cc1f72c303272,-13.02679,-38.700244,-12.723879,-38.305051
2,"Tupaciguara, Brasil",76bc42d5cab9e8a2,-18.8391505,-49.054549,-18.305557,-48.4991477
3,"Duque de Caxias, Brasil",1c88433143d383e1,-22.8132778,-43.4161389,-22.475838,-43.1776054
4,"São Paulo, Brasil",68e019afec7d0ba5,-24.008814,-46.826039,-23.356792,-46.365052
5,"São José dos Campos, Brasil",ad8a3318a4317a03,-23.306164,-46.108612,-22.816672,-45.7262721
6,"Santos, Brasil",c83a3bc35870a7a1,-23.99197,-46.403227,-23.73467,-46.176966
