,ditadura,reforma trabalhista,feminismo,reforma agrária,corrupção,segurança
0,9.0,36.0,1.0,0.0,66.0,10.0
1,81.0,145.0,0.0,3.0,596.0,56.0
2,92.0,54.0,2.0,3.0,716.0,75.0
3,98.0,54.0,5.0,7.0,539.0,81.0
4,150.0,59.0,2.0,4.0,656.0,84.0
5,101.0,103.0,0.0,6.0,595.0,85.0
6,84.0,20.0,2.0,13.0,578.0,131.0
7,64.0,20.0,2.0,1.0,656.0,50.0
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,79.0,25.0,3.0,4.0,447.0,82.0
9,52.0,3.0,3.0,4.0,526.0,116.0
10,60.0,10.0,1.0,1.0,542.0,83.0
11,76.0,47.0,2.0,6.0,572.0,128.0
12,83.0,8.0,2.0,4.0,370.0,268.0
13,46.0,18.0,2.0,4.0,442.0,86.0
14,55.0,9.0,2.0,2.0,499.0,204.0
15,2.0,1.0,0.0,2.0,34.0,39.0
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,79.0,25.0,3.0,4.0,447.0,82.0
17,52.0,3.0,3.0,4.0,526.0,116.0
18,60.0,10.0,1.0,1.0,542.0,83.0
19,76.0,47.0,2.0,6.0,572.0,128.0
20,83.0,8.0,2.0,4.0,370.0,268.0
21,46.0,18.0,2.0,4.0,442.0,85.0
22,55.0,9.0,2.0,2.0,499.0,204.0
23,3.0,1.0,0.0,2.0,35.0,41.0
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,79.0,25.0,3.0,4.0,447.0,82.0
25,52.0,3.0,3.0,4.0,526.0,116.0
26,60.0,10.0,1.0,1.0,542.0,83.0
27,76.0,47.0,2.0,6.0,572.0,128.0
28,83.0,8.0,2.0,4.0,370.0,268.0
29,46.0,18.0,2.0,4.0,442.0,85.0
30,55.0,9.0,2.0,2.0,499.0,204.0
31,3.0,1.0,0.0,2.0,34.0,41.0
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,134.0,10.0,3.0,2.0,562.0,524.0
33,174.0,7.0,1.0,7.0,621.0,373.0
34,202.0,4.0,4.0,5.0,597.0,345.0
35,110.0,11.0,6.0,6.0,574.0,279.0
36,124.0,7.0,34.0,9.0,504.0,149.0
37,119.0,3.0,10.0,2.0,363.0,108.0
38,102.0,3.0,1.0,5.0,294.0,103.0
39,1.0,0.0,0.0,0.0,10.0,1.0
