,(corrupto OR corrupta),machista,racista,nazista,fascista,(burro OR burra),comunista,socialista,anarquista,(alienado OR alienada),(analfabeto OR analfabeta),(mentiroso OR mentirosa),(desonesto OR desonesta),(safado OR safada),canalha,(ladrão OR ladra),hipócrita,genocida,(ditador OR ditadora),(autoritário OR autoritária),sexista,populista,(maconheiro OR maconheira),imbecil,(vagabundo OR vagabunda)
0,286.0,7.0,23.0,35.0,111.0,295.0,128.0,35.0,4.0,16.0,19.0,172.0,24.0,49.0,112.0,539.0,60.0,283.0,64.0,19.0,3.0,25.0,8.0,107.0,338.0
1,312.0,19.0,24.0,26.0,125.0,240.0,118.0,35.0,0.0,27.0,18.0,192.0,136.0,40.0,171.0,492.0,194.0,268.0,50.0,37.0,3.0,30.0,7.0,105.0,333.0
2,355.0,19.0,31.0,102.0,130.0,224.0,106.0,36.0,2.0,35.0,21.0,239.0,65.0,52.0,138.0,583.0,126.0,468.0,55.0,16.0,4.0,20.0,23.0,142.0,504.0
3,408.0,21.0,23.0,46.0,126.0,387.0,161.0,33.0,3.0,36.0,19.0,688.0,45.0,97.0,259.0,739.0,132.0,362.0,39.0,20.0,7.0,57.0,8.0,140.0,938.0
4,342.0,10.0,39.0,26.0,97.0,256.0,109.0,28.0,0.0,23.0,23.0,354.0,20.0,65.0,186.0,695.0,104.0,255.0,46.0,14.0,5.0,20.0,7.0,99.0,460.0
5,404.0,10.0,31.0,37.0,127.0,213.0,127.0,47.0,3.0,20.0,27.0,265.0,22.0,60.0,136.0,783.0,77.0,360.0,62.0,16.0,3.0,33.0,12.0,113.0,505.0
6,412.0,21.0,31.0,52.0,212.0,289.0,368.0,123.0,0.0,28.0,23.0,169.0,19.0,57.0,116.0,673.0,60.0,241.0,75.0,29.0,7.0,43.0,10.0,109.0,454.0
7,52.0,1.0,1.0,1.0,6.0,21.0,37.0,20.0,0.0,2.0,1.0,13.0,0.0,2.0,8.0,46.0,3.0,18.0,4.0,1.0,0.0,4.0,0.0,7.0,24.0
8,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,
8,465.0,37.0,68.0,19.0,111.0,359.0,218.0,34.0,1.0,22.0,24.0,203.0,24.0,75.0,91.0,641.0,86.0,232.0,48.0,32.0,4.0,80.0,5.0,69.0,384.0
9,531.0,21.0,58.0,30.0,103.0,275.0,169.0,54.0,2.0,20.0,23.0,186.0,26.0,55.0,67.0,942.0,80.0,240.0,62.0,37.0,3.0,46.0,11.0,124.0,286.0
10,474.0,20.0,47.0,44.0,74.0,198.0,154.0,46.0,0.0,18.0,13.0,161.0,25.0,38.0,67.0,950.0,38.0,196.0,46.0,16.0,4.0,26.0,6.0,81.0,240.0
11,635.0,20.0,49.0,40.0,81.0,239.0,211.0,82.0,3.0,12.0,20.0,241.0,17.0,53.0,113.0,966.0,54.0,171.0,46.0,15.0,2.0,16.0,9.0,83.0,297.0
12,404.0,22.0,42.0,26.0,82.0,235.0,146.0,44.0,0.0,13.0,18.0,149.0,21.0,53.0,78.0,605.0,55.0,204.0,36.0,17.0,3.0,22.0,7.0,75.0,220.0
13,371.0,16.0,37.0,43.0,122.0,207.0,148.0,24.0,3.0,23.0,18.0,123.0,17.0,37.0,106.0,472.0,43.0,214.0,40.0,25.0,1.0,28.0,10.0,70.0,210.0
14,392.0,16.0,38.0,36.0,123.0,232.0,156.0,38.0,1.0,18.0,15.0,140.0,27.0,53.0,104.0,527.0,61.0,196.0,30.0,31.0,5.0,53.0,8.0,122.0,222.0
15,30.0,1.0,4.0,3.0,6.0,21.0,4.0,2.0,1.0,1.0,2.0,20.0,2.0,6.0,23.0,59.0,12.0,24.0,7.0,2.0,0.0,1.0,1.0,8.0,26.0
16,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,
16,433.0,17.0,35.0,28.0,161.0,217.0,158.0,34.0,2.0,19.0,15.0,155.0,27.0,56.0,101.0,734.0,74.0,221.0,50.0,37.0,7.0,47.0,2.0,71.0,287.0
17,570.0,20.0,35.0,59.0,434.0,297.0,192.0,44.0,0.0,40.0,24.0,169.0,75.0,88.0,340.0,858.0,188.0,408.0,75.0,55.0,5.0,39.0,3.0,197.0,485.0
18,449.0,35.0,52.0,177.0,458.0,392.0,177.0,51.0,0.0,36.0,29.0,311.0,87.0,86.0,368.0,846.0,331.0,433.0,232.0,33.0,5.0,36.0,6.0,200.0,413.0
19,453.0,34.0,37.0,66.0,263.0,321.0,166.0,154.0,4.0,34.0,31.0,229.0,52.0,68.0,186.0,778.0,168.0,363.0,104.0,20.0,6.0,33.0,7.0,161.0,437.0
20,363.0,28.0,43.0,49.0,183.0,297.0,142.0,36.0,2.0,26.0,41.0,276.0,34.0,67.0,196.0,696.0,94.0,304.0,52.0,31.0,4.0,61.0,9.0,102.0,302.0
21,314.0,30.0,45.0,40.0,101.0,231.0,163.0,39.0,1.0,10.0,25.0,152.0,20.0,53.0,130.0,644.0,79.0,208.0,36.0,11.0,2.0,42.0,14.0,70.0,259.0
22,3093.0,22.0,39.0,40.0,220.0,198.0,167.0,79.0,2.0,11.0,13.0,143.0,24.0,53.0,95.0,540.0,88.0,388.0,78.0,23.0,3.0,33.0,16.0,82.0,284.0
23,116.0,1.0,1.0,2.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,13.0,3.0,26.0,6.0,1.0,1.0,0.0,1.0,3.0,13.0
