,(corrupto OR corrupta),machista,racista,nazista,fascista,(burro OR burra),comunista,socialista,anarquista,(alienado OR alienada),(analfabeto OR analfabeta),(mentiroso OR mentirosa),(desonesto OR desonesta),(safado OR safada),canalha,(ladrão OR ladra),hipócrita,genocida,(ditador OR ditadora),(autoritário OR autoritária),sexista,populista,(maconheiro OR maconheira),imbecil,(vagabundo OR vagabunda)
0,54.0,3.0,6.0,3.0,47.0,36.0,9.0,5.0,1.0,2.0,1.0,24.0,7.0,8.0,27.0,55.0,14.0,21.0,2.0,7.0,0.0,8.0,2.0,8.0,8.0
1,55.0,1.0,0.0,5.0,39.0,32.0,14.0,1.0,0.0,4.0,5.0,19.0,19.0,4.0,24.0,62.0,10.0,35.0,3.0,4.0,0.0,12.0,3.0,18.0,20.0
2,69.0,2.0,13.0,2.0,24.0,28.0,15.0,5.0,0.0,2.0,0.0,15.0,16.0,3.0,12.0,53.0,9.0,28.0,4.0,3.0,0.0,4.0,1.0,8.0,17.0
3,84.0,4.0,6.0,7.0,45.0,77.0,24.0,7.0,0.0,3.0,4.0,49.0,7.0,33.0,82.0,84.0,63.0,58.0,8.0,4.0,0.0,14.0,1.0,19.0,68.0
4,43.0,1.0,1.0,1.0,12.0,29.0,3.0,1.0,0.0,0.0,1.0,15.0,8.0,8.0,13.0,41.0,7.0,15.0,11.0,4.0,0.0,8.0,3.0,9.0,9.0
5,56.0,4.0,2.0,2.0,26.0,19.0,7.0,6.0,1.0,2.0,2.0,21.0,7.0,12.0,20.0,81.0,13.0,27.0,3.0,3.0,0.0,4.0,0.0,9.0,32.0
6,55.0,2.0,1.0,8.0,31.0,26.0,15.0,2.0,0.0,3.0,3.0,16.0,5.0,10.0,31.0,72.0,15.0,30.0,4.0,2.0,0.0,14.0,0.0,8.0,20.0
7,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,
8,38.0,0.0,5.0,1.0,9.0,22.0,10.0,2.0,0.0,3.0,1.0,12.0,4.0,2.0,7.0,29.0,10.0,7.0,2.0,6.0,0.0,11.0,0.0,2.0,6.0
9,66.0,3.0,1.0,2.0,28.0,32.0,12.0,3.0,0.0,5.0,1.0,19.0,11.0,7.0,23.0,148.0,14.0,18.0,3.0,5.0,0.0,9.0,1.0,14.0,35.0
10,42.0,1.0,3.0,1.0,8.0,20.0,13.0,2.0,0.0,1.0,0.0,14.0,10.0,6.0,8.0,102.0,13.0,18.0,3.0,6.0,0.0,10.0,1.0,12.0,17.0
11,43.0,3.0,2.0,0.0,12.0,17.0,8.0,4.0,0.0,2.0,1.0,14.0,3.0,6.0,8.0,56.0,2.0,16.0,2.0,2.0,0.0,3.0,0.0,7.0,13.0
12,32.0,2.0,1.0,2.0,6.0,21.0,4.0,5.0,0.0,3.0,1.0,9.0,3.0,4.0,8.0,38.0,3.0,10.0,3.0,3.0,0.0,5.0,0.0,8.0,11.0
13,61.0,5.0,5.0,5.0,24.0,37.0,6.0,1.0,0.0,4.0,2.0,20.0,9.0,5.0,11.0,50.0,7.0,25.0,1.0,4.0,0.0,3.0,0.0,7.0,15.0
