,(corrupto OR corrupta),machista,racista,nazista,fascista,(burro OR burra),comunista,socialista,anarquista,(alienado OR alienada),(analfabeto OR analfabeta),(mentiroso OR mentirosa),(desonesto OR desonesta),(safado OR safada),canalha,(ladrão OR ladra),hipócrita,genocida,(ditador OR ditadora),(autoritário OR autoritária),sexista,populista,(maconheiro OR maconheira),imbecil,(vagabundo OR vagabunda)
0,360.0,5.0,10.0,19.0,103.0,200.0,172.0,112.0,1.0,21.0,29.0,144.0,17.0,65.0,89.0,1561.0,52.0,241.0,47.0,14.0,0.0,22.0,7.0,59.0,243.0
1,417.0,8.0,7.0,22.0,89.0,198.0,162.0,98.0,0.0,24.0,39.0,159.0,166.0,83.0,89.0,1503.0,182.0,149.0,35.0,16.0,0.0,24.0,5.0,78.0,231.0
2,501.0,4.0,8.0,17.0,91.0,142.0,262.0,191.0,1.0,25.0,46.0,206.0,35.0,82.0,135.0,1994.0,104.0,257.0,27.0,9.0,0.0,17.0,8.0,76.0,256.0
3,571.0,3.0,5.0,27.0,84.0,197.0,180.0,56.0,3.0,30.0,40.0,442.0,42.0,115.0,136.0,2280.0,74.0,190.0,29.0,13.0,1.0,29.0,7.0,92.0,328.0
4,599.0,5.0,14.0,14.0,72.0,181.0,222.0,27.0,4.0,16.0,40.0,294.0,39.0,116.0,301.0,2351.0,66.0,215.0,32.0,7.0,0.0,22.0,5.0,82.0,404.0
5,433.0,7.0,16.0,16.0,79.0,159.0,153.0,89.0,1.0,15.0,50.0,176.0,28.0,102.0,121.0,1996.0,69.0,172.0,38.0,9.0,0.0,34.0,6.0,74.0,255.0
6,423.0,7.0,18.0,21.0,127.0,167.0,298.0,161.0,0.0,16.0,25.0,136.0,16.0,65.0,97.0,1461.0,50.0,165.0,41.0,20.0,0.0,47.0,7.0,79.0,243.0
7,22.0,1.0,0.0,0.0,1.0,18.0,13.0,89.0,0.0,2.0,0.0,5.0,0.0,3.0,4.0,93.0,2.0,8.0,6.0,1.0,0.0,0.0,1.0,5.0,12.0
8,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,
8,438.0,23.0,18.0,12.0,70.0,192.0,130.0,42.0,4.0,23.0,36.0,234.0,32.0,76.0,92.0,1361.0,84.0,157.0,20.0,15.0,1.0,53.0,3.0,137.0,278.0
9,580.0,15.0,16.0,14.0,99.0,232.0,125.0,44.0,2.0,39.0,46.0,367.0,33.0,101.0,97.0,2122.0,76.0,206.0,21.0,14.0,0.0,40.0,7.0,228.0,383.0
10,427.0,6.0,43.0,12.0,64.0,186.0,125.0,56.0,0.0,17.0,37.0,248.0,44.0,84.0,84.0,1747.0,78.0,176.0,35.0,7.0,0.0,17.0,4.0,104.0,276.0
11,503.0,11.0,8.0,11.0,53.0,141.0,157.0,64.0,2.0,7.0,37.0,180.0,18.0,79.0,72.0,1693.0,42.0,150.0,32.0,6.0,0.0,12.0,6.0,61.0,263.0
12,415.0,7.0,13.0,11.0,55.0,176.0,286.0,51.0,1.0,23.0,41.0,172.0,22.0,59.0,77.0,1448.0,55.0,132.0,15.0,11.0,0.0,16.0,6.0,76.0,238.0
13,372.0,11.0,16.0,21.0,95.0,134.0,174.0,28.0,3.0,21.0,45.0,151.0,16.0,58.0,71.0,1305.0,42.0,134.0,24.0,9.0,0.0,23.0,13.0,39.0,189.0
14,530.0,4.0,13.0,28.0,74.0,164.0,257.0,121.0,0.0,19.0,34.0,142.0,29.0,99.0,85.0,1522.0,46.0,118.0,20.0,10.0,0.0,35.0,3.0,112.0,233.0
15,40.0,2.0,0.0,1.0,8.0,25.0,28.0,3.0,0.0,0.0,6.0,18.0,2.0,8.0,30.0,171.0,3.0,24.0,2.0,0.0,0.0,2.0,1.0,9.0,38.0
16,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,
16,498.0,7.0,13.0,28.0,166.0,182.0,114.0,46.0,8.0,23.0,40.0,206.0,28.0,89.0,183.0,1792.0,68.0,175.0,35.0,37.0,0.0,30.0,0.0,64.0,359.0
17,567.0,13.0,12.0,42.0,328.0,333.0,153.0,66.0,1.0,35.0,40.0,197.0,107.0,152.0,395.0,2232.0,218.0,286.0,57.0,58.0,1.0,43.0,6.0,180.0,503.0
18,528.0,10.0,17.0,73.0,319.0,341.0,236.0,66.0,3.0,53.0,45.0,173.0,92.0,100.0,270.0,2079.0,256.0,331.0,60.0,25.0,0.0,33.0,6.0,168.0,401.0
19,495.0,14.0,16.0,19.0,168.0,296.0,172.0,74.0,5.0,41.0,49.0,221.0,64.0,101.0,134.0,1831.0,144.0,217.0,71.0,21.0,0.0,35.0,4.0,120.0,276.0
20,461.0,15.0,12.0,37.0,144.0,240.0,137.0,45.0,0.0,24.0,68.0,182.0,34.0,95.0,116.0,1791.0,88.0,192.0,59.0,22.0,0.0,45.0,20.0,90.0,323.0
21,389.0,4.0,12.0,15.0,70.0,171.0,121.0,60.0,1.0,18.0,33.0,159.0,20.0,68.0,87.0,1601.0,80.0,149.0,38.0,10.0,0.0,43.0,25.0,62.0,260.0
22,456.0,9.0,24.0,9.0,107.0,186.0,92.0,92.0,5.0,12.0,24.0,142.0,22.0,53.0,54.0,1155.0,59.0,103.0,26.0,5.0,0.0,34.0,11.0,57.0,252.0
23,16.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,8.0,0.0,1.0,2.0,32.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
