,(honesto OR honesta),(democrático OR democrática),inteligente,consciente,(culto OR culta),(correta OR correto),(honesto OR honesta),(democrático OR democrática),inteligente,consciente,(culto OR culta),(correta OR correto)
0,3.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0
1,16.0,16.0,23.0,2.0,3.0,4.0,16.0,16.0,23.0,2.0,3.0,4.0
2,13.0,10.0,18.0,1.0,3.0,4.0,13.0,10.0,18.0,1.0,3.0,4.0
3,29.0,15.0,29.0,5.0,5.0,12.0,29.0,15.0,29.0,5.0,5.0,12.0
4,18.0,20.0,54.0,9.0,4.0,12.0,18.0,20.0,54.0,9.0,4.0,12.0
5,17.0,8.0,46.0,7.0,0.0,17.0,17.0,8.0,46.0,7.0,0.0,17.0
6,17.0,25.0,24.0,4.0,1.0,4.0,17.0,25.0,24.0,4.0,1.0,4.0
7,17.0,11.0,34.0,2.0,3.0,13.0,17.0,11.0,34.0,2.0,3.0,13.0
8,34.0,26.0,34.0,4.0,1.0,20.0,34.0,26.0,34.0,4.0,1.0,20.0
9,39.0,31.0,24.0,12.0,6.0,21.0,39.0,31.0,24.0,12.0,6.0,21.0
10,38.0,47.0,49.0,4.0,6.0,20.0,38.0,47.0,49.0,4.0,6.0,20.0
11,35.0,36.0,28.0,15.0,6.0,22.0,35.0,36.0,28.0,15.0,6.0,22.0
12,22.0,22.0,36.0,11.0,1.0,15.0,22.0,22.0,36.0,11.0,1.0,15.0
13,15.0,9.0,16.0,2.0,2.0,14.0,15.0,9.0,16.0,2.0,2.0,14.0
14,12.0,7.0,13.0,1.0,1.0,6.0,12.0,7.0,13.0,1.0,1.0,6.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
