,(honesto OR honesta),(democrático OR democrática),inteligente,consciente,(culto OR culta),(correta OR correto),(honesto OR honesta),(democrático OR democrática),inteligente,consciente,(culto OR culta),(correta OR correto)
0,43.0,8.0,2.0,0.0,0.0,4.0,43.0,8.0,2.0,0.0,0.0,4.0
1,202.0,87.0,38.0,4.0,10.0,57.0,202.0,87.0,38.0,4.0,10.0,57.0
2,218.0,67.0,78.0,7.0,7.0,45.0,218.0,67.0,78.0,7.0,7.0,45.0
3,278.0,74.0,209.0,3.0,11.0,40.0,278.0,74.0,209.0,3.0,11.0,40.0
4,176.0,81.0,64.0,18.0,5.0,55.0,176.0,81.0,64.0,18.0,5.0,55.0
5,144.0,61.0,87.0,31.0,2.0,42.0,144.0,61.0,87.0,31.0,2.0,42.0
6,249.0,59.0,47.0,13.0,8.0,49.0,249.0,59.0,47.0,13.0,8.0,49.0
7,212.0,44.0,45.0,9.0,2.0,46.0,212.0,44.0,45.0,9.0,2.0,46.0
8,178.0,117.0,73.0,12.0,12.0,46.0,178.0,117.0,73.0,12.0,12.0,46.0
9,188.0,181.0,106.0,17.0,40.0,81.0,188.0,181.0,106.0,17.0,40.0,81.0
10,153.0,137.0,116.0,27.0,19.0,86.0,153.0,137.0,116.0,27.0,19.0,86.0
11,152.0,112.0,100.0,15.0,16.0,66.0,152.0,112.0,100.0,15.0,16.0,66.0
12,176.0,96.0,96.0,24.0,6.0,56.0,176.0,96.0,96.0,24.0,6.0,56.0
13,114.0,58.0,63.0,9.0,8.0,39.0,114.0,58.0,63.0,9.0,8.0,39.0
14,81.0,38.0,27.0,8.0,7.0,35.0,81.0,38.0,27.0,8.0,7.0,35.0
15,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0
