,(honesto OR honesta),(democrático OR democrática),inteligente,consciente,(culto OR culta),(correta OR correto),(honesto OR honesta),(democrático OR democrática),inteligente,consciente,(culto OR culta),(correta OR correto)
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.0,4.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0
2,2.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0
3,104.0,7.0,103.0,0.0,0.0,1.0,104.0,7.0,103.0,0.0,0.0,1.0
4,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
6,3.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0
7,1.0,4.0,6.0,0.0,0.0,2.0,1.0,4.0,6.0,0.0,0.0,2.0
8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
9,0.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0
10,1.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0
11,2.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
