,text,id,retweets,replys,likes,author_id,source,lang,created_at,place_id
0,"Luiz Felipe D’Ávila: “Eleitores estão preocupados em como pagar as contas”
https://t.co/c56YjrnlLZ",1537559490190532609,2,2,13,1445471936893444099,Twitter Web App,pt,2022-06-16 22:15:23+00:00,
1,@eitahlinda @P15Pablo Mas o candidato do Novo é Luiz Felipe D'avila.,1537479558785556483,0,0,0,131487100,Twitter for Android,pt,2022-06-16 16:57:46+00:00,
2,"@lfdavilaoficial @RomeuZema “Meu candidato a presidente é Luiz Felipe D´Avila” é obrigação partidária. Zema já se posicionou em favor de Bolsonaro.
É ridículo você. politicamente zero à esquerda, se posicionar assim. Mostra que não tem preparo nenhum.",1537446658622885888,0,1,0,1935432210,Twitter Web App,pt,2022-06-16 14:47:02+00:00,
3,"“Meu candidato a presidente é Luiz Felipe D´Avila”. A frase do @romeuzema mostra que o NOVO tem unidade e foco no Brasil que dá certo. Minas Gerais se livrou da gestão PT, que arruinou o estado, e está em constante crescimento. Esse é o modelo que podemos levar para todo o Brasil https://t.co/9wd2E2UeIy",1537434830434193408,49,58,510,900831846258413568,Twitter Web App,pt,2022-06-16 14:00:02+00:00,
4,"@joaoamoedonovo O Luiz Felipe D’Ávila é um excelente candidato à presidência, pena que você f…. com o partido.",1537127323018878976,0,0,0,1518766992316108801,Twitter for iPhone,pt,2022-06-15 17:38:06+00:00,
5,"Última pesquisa eleitoral: Lula da Silva com 44%, Bozo com 32%, Ciro Gomes com 9%, Simone Tebet com 2%, Luiz Felipe D'Ávila com 1% e o Luciano Bivar com ... 0% 

Infelizmente a Polarização entre Bolsonarismo e Lulismo está profundamente enraizada na Sociedade civil brasileira.",1537108291259666433,0,2,0,382220373,Twitter for Android,pt,2022-06-15 16:22:29+00:00,
6,@eline__30 Luiz Felipe D'Ávila Presidente 2022!,1537050937692495872,0,0,0,1519843300806692865,Twitter for Android,pt,2022-06-15 12:34:35+00:00,
7,"@jonesmanoel_PCB Sim.
Mas também tem burguesia na candidatura de Simone Tebet, na candidatura do Luiz Felipe D'Ávila, na candidatura do André Janones, numa futura candidatura do PSD e até parte da burguesia na candidatura do Ciro Gomes",1536866319336980481,0,1,0,882601550,Twitter Web App,pt,2022-06-15 00:20:58+00:00,
8,"A Folha/UOL fez matéria hoje sobre o deputado estadual, Frederico Braun d'Ávila (PL/SP), irmão por pai do pré-candidato presidencial do Partido Novo, Luiz Felipe d'Avila, cuja genealogia já pesquisamos e por parte materna, Braun, de origens judaicas.  https://t.co/IAJIXFZduh",1536826522622996480,3,0,13,858720609647415297,Twitter Web App,pt,2022-06-14 21:42:50+00:00,
9,"@lauramariotto @joao_milanineto @lfdavilaoficial @claudioedantas Assim como devemos separar Moro da corja do UB, devemos ouvir as propostas de Felipe. O único candidato que tem de fato um projeto para o futuro do país. 
https://t.co/oBWPvi2qHy",1536755793281929218,0,1,1,1484290777496883210,Twitter for Android,pt,2022-06-14 17:01:47+00:00,
10,"@RobsonB89914747 @lauramariotto @claudioedantas @lfdavilaoficial @o_antagonista Assim como devemos separar Moro da corja do UB, devemos ouvir as propostas de Felipe. O único candidato que tem de fato um projeto para o futuro do país. 
https://t.co/oBWPvi2qHy",1536747670143909888,3,1,9,1484290777496883210,Twitter for Android,pt,2022-06-14 16:29:30+00:00,
11,"@JhonnyL75085257 @Exklusivo1 @heldersalomao Primeiro turno da pesquisa estimulada para presidente

Luiz Inácio Lula da Silva (PT) - 44%

Jair Bolsonaro (PL) - 32%

Ciro Gomes (PDT) - 9%

Simone Tebet (MDB) - 2%

André Janones (Avante) - 1%

Felipe d'Avila (Novo) - 1%
Ainda bem que não vou precisar votar no seg turno.",1536742683611385856,0,4,1,1481416750273024004,Twitter for Android,pt,2022-06-14 16:09:41+00:00,
12,@Luizcesar_sa @2022Enquetes @SF_Moro @lfdavilaoficial 👇🏼https://t.co/oBWPvi2qHy,1536736097396465665,0,2,2,1484290777496883210,Twitter for Android,und,2022-06-14 15:43:31+00:00,
13,"O pré-candidato ao Planalto, Luiz Felipe D'Ávila (Novo), é o entrevistado do programa Perspectivas desta 3ª feira (14.jun); acompanhe https://t.co/ZYC1d47eN2",1536711369097101313,2,1,3,1294284740237852673,Echobox,pt,2022-06-14 14:05:15+00:00,
14,"@ErickSantosSP Sim, existe. Mas trago um outro exemplo do pq não é só o componente ideológico. O Luiz Felipe D'Ávila, candidato do NOVO, que tem a mesma expressividade nas pesquisas, também não tem a cobertura que a Simone está tendo. Pq? Pq não tá movimentando o campo como ela",1536357281415184384,0,1,0,1076854602815979526,Twitter for Android,pt,2022-06-13 14:38:14+00:00,
15,"@WilsonR41272232 @freire_roberto Se não gosta da Tebet, tem o Luiz Felipe D’Avila. Só não existe argumento razoável pra anular no primeiro turno. Seria por birra.",1535886599116009472,0,0,0,36079637,Twitter for iPhone,pt,2022-06-12 07:27:55+00:00,
16,"@pombo_miope Eu vou de Luiz Felipe D'ávila,acho que é o melhor atual",1535432978402365441,0,0,1,1533917918202839041,Twitter Web App,pt,2022-06-11 01:25:23+00:00,
17,"@josinoneto3007 Em nenhum dos 2 ou melhor nenhum dos 4.
Temos uma boa opção que é o Luiz Felipe D'Ávila do partido Novo.",1535324163530956801,0,0,0,1468692540962525184,Twitter Web App,pt,2022-06-10 18:13:00+00:00,
