,text,id,retweets,replys,likes,author_id,source,lang,created_at,place_id
0,@proftulionit No mundo paralelo que o bolsonaro criou para ele e seus seguidores tudo é possível.,1537650550095097856,0,0,0,1382247772573683714,Twitter Web App,pt,2022-06-17 04:17:13+00:00,
1,"@rewel_ale @vitiinhooii @choquei Mano vc é muito burro
Bolsonaro bandidao safado",1537650520739008513,0,0,0,1490775074827382786,Twitter for Android,pt,2022-06-17 04:17:06+00:00,
2,@sartoprefeito12 Grande trabalho. Quero viver no CE. Único estado do Brasil em que Bolsonaro não teria sequer ido ao Segundo Turno.,1537650510135713793,0,0,0,1358167916986925060,Twitter for Android,pt,2022-06-17 04:17:04+00:00,
3,"@Leonard04185098 No dia, vão perder e Bolsonaro vai pra cadeia 2 semanas depois. Depois de 1 de janeiro, ali pro dia 15, eu volto aqui. 🤣",1537650502959259648,0,0,0,1633006844,Twitter for Android,pt,2022-06-17 04:17:02+00:00,
4,O cachorrinho do bolsonaro acha que rusnando vai melhorar a 💩 que o #VagabundoDaRepublica fez!🤦🏻‍♀️🤬🤬🤬 https://t.co/jrpeAyMeLP,1537650478019903489,0,0,0,1144780085985198080,Twitter for Android,pt,2022-06-17 04:16:56+00:00,
5,Sou Bolsonaro https://t.co/Cm2MAXFJkF,1537650476493287424,0,0,0,4800166102,Twitter for Android,pt,2022-06-17 04:16:56+00:00,
6,"@WSJ Bolsonaro is lying to the world, betraying USA and Europe. Do not put your Money in Brasil. Do not buy Agricultural products from Brazil. It has pesticide in very high and dangerous levels.",1537650427046596608,0,0,0,1131169949513322497,Twitter for Android,en,2022-06-17 04:16:44+00:00,
7,"O segundo criminoso foi preso no dia 14. Ou seja, oito dias depois da comunicação do desaparecimento, o crime estava elucidado.
Como esses mentirosos têm coragem de dizer que o Governo Bolsonaro não agiu?",1537650411930279936,0,0,0,1199124911186436096,Twitter for Android,pt,2022-06-17 04:16:41+00:00,
8,@ricardo181179 Sou Bolsonaro,1537650409065664512,0,0,0,4800166102,Twitter for Android,pt,2022-06-17 04:16:40+00:00,
9,"@TheEconomist Bolsonaro is lying to the world, betraying USA and Europe. Do not put your Money in Brasil. Do not buy Agricultural products from Brazil. It has pesticide in very high and dangerous levels.",1537650394763075584,0,0,0,1131169949513322497,Twitter for Android,en,2022-06-17 04:16:36+00:00,
10,"Bruno Pereira and Dom Phillips' cruel murders are the latest in a series of brutal attacks against Indigenous communities in Brazil. 

@BorisJohnson, when will you stand up to Bolsonaro? #JusticeForDomAndBruno https://t.co/KrmzfuVHN7",1537650386453942272,0,0,0,217644966,Twitter Web App,en,2022-06-17 04:16:34+00:00,
11,"@AP @khightower Bolsonaro is lying to the world, betraying USA and Europe. Do not put your Money in Brasil. Do not buy Agricultural products from Brazil. It has pesticide in very high and dangerous levels.",1537650362286542848,0,0,0,1131169949513322497,Twitter for Android,en,2022-06-17 04:16:29+00:00,
12,@JanainaDoBrasil E qtos milicianos ligados a Bolsonaro Dra? Trabalhando no gabinete do filho eqto Deputado? No condomínio dele...,1537650339477958656,0,0,0,1115690464856817664,Twitter for Android,pt,2022-06-17 04:16:23+00:00,
13,@GadoDecider https://t.co/astRhhBJdn,1537650319647293444,0,0,0,205445817,Twitter for Android,qme,2022-06-17 04:16:19+00:00,
14,@Senhor_Werner borsalino pq parece bolsonaro,1537650304761704449,0,0,1,1524081575503273988,Twitter Web App,pt,2022-06-17 04:16:15+00:00,
15,"@JoseJabinal @pauloeneas Bolsonaro foi presidenciável e presidente eleito, até antes de se cercar de más companhias dentre ministros, líderes, e correligionários, depois de ter passado 28 anos no congresso. Não tente transformar histórico, discurso e bandeiras de uma agenda, numa metamorfose ambulante.",1537650303063019520,0,1,0,2700299806,Twitter Web App,pt,2022-06-17 04:16:15+00:00,
16,"@ReutersBiz Bolsonaro is lying to the world, betraying USA and Europe. Do not put your Money in Brasil. Do not buy Agricultural products from Brazil. It has pesticide in very high and dangerous levels.",1537650280132665344,0,0,0,1131169949513322497,Twitter for Android,en,2022-06-17 04:16:09+00:00,
17,"@guardian Just a reminder when bolsonaro proposed to Al Gore (!!!) ""exploring"" together the amazon forest resources

https://t.co/F2bW0wjfAa",1537650262650802180,0,0,1,1264409724734386176,Twitter for Android,en,2022-06-17 04:16:05+00:00,
18,"@CarlosCAlmeida3 @robertatopthe Antes de Bolsonaro, a Amazônia era um jardim do Éden.",1537650259958046720,0,0,0,1517515259191472129,Twitter for iPhone,pt,2022-06-17 04:16:04+00:00,
19,Jamil Chade - Assassinatos 'sepultam' planos de Bolsonaro no exterior e aprofundam crise https://t.co/HT58y6lGKr via @UOLNoticias @UOL,1537650249480675328,0,0,0,1508172467474423818,Twitter Web App,pt,2022-06-17 04:16:02+00:00,
20,@mluizabr @Juh_Arruda35 @mangoni65 sua família é compostas por imundos!!! Bolsonaro neles em 2022,1537650246095974400,0,0,0,1537639532476215296,Twitter for Android,pt,2022-06-17 04:16:01+00:00,
21,"@da_goiabeira Verdade, a gente viu isso no esfaqueamento do Bolsonaro. 

Esse Jesus tá cheirando pó de hóstia....",1537650245236051968,0,0,0,37037274,Twitter Web App,pt,2022-06-17 04:16:01+00:00,
