,text,id,retweets,replys,likes,author_id,source,lang,created_at,place_id
0,"Santos escalado para o confronto contra o Coritiba pelo Paulistão!: Gabigol, Ricardo Oliveira, Bryan Ruiz, Fábio Carille, Lucas Pires, Marcos Leonardo, Gerson Magrão, Andrés Rueda, Camacho, Tiago Leifert e Péricles.",1537515804832329728,0,0,0,1394120531868274689,"Cheap Bots, Done Quick!",pt,2022-06-16 19:21:48+00:00,
1,"Reafirmamos o nome do Leonardo Péricles, aprovado no último Congresso Nacional do partido como pré-candidato à presidência da República.",1537500348042162177,1,1,13,1217486556841246721,Twitter for Android,pt,2022-06-16 18:20:23+00:00,
2,"In April 1501 Leonardo had only finished the cartoon, and this all Florence flocked to see and admire.Pericles learned to love and admire him and the poet Eurip",1537253901522546688,0,0,0,1463989575294992403,App-Auto-DM-tweet-TG_t1z0z,en,2022-06-16 02:01:05+00:00,
3,"Simone Tebet-a)https://t.co/T338vUaFGn
b)https://t.co/9ZmpujjsDE
Luciano Bivar-???

Felipe d'Avila-a)https://t.co/WQ7oseUt6Q
b)https://t.co/mSzYSYEke1

André Janones-https://t.co/NKLMCQDoRA

Leonardo Péricles-https://t.co/PsQzTmoGaP

Pablo Marçal-https://t.co/GdQMdHI3NJ",1537232825929601024,0,1,0,1446672626412396545,Twitter for Android,es,2022-06-16 00:37:20+00:00,
4,"@LuizLeitao59 Empatados, André Janones (Avante) e Felipe D’ávila (Novo) estão com 1% cada. Os demais nomes testados não pontuaram. Mas de acordo com a pesquisa, José Maria Eymael (DC), Vera Lúcia (PSTU), Sofia Manzano (PCB), Leonardo Péricles (UP), Luciano Bivar (União Brasil) e Pablo Marçal",1537191408800522240,0,2,1,1247266269964967937,Twitter for Android,pt,2022-06-15 21:52:46+00:00,
5,@Jheitor7 Leonardo comendo sorvete enquanto Péricles fala sobre chuva ácida,1537151001781731329,0,0,0,1201052965370519552,Twitter Web App,pt,2022-06-15 19:12:12+00:00,
6,@AgendaDoJair Leonardo pericles,1537127299207811073,0,0,0,956944349559971840,Twitter for Android,ca,2022-06-15 17:38:01+00:00,
7,"Nesta terça-feira (14), o pré-candidato à presidência da República pela Unidade Popular (UP) @UP80BR, Leonardo Péricles, realizou uma plenária no Instituto Central de Ciências (ICC) da Universidade de Brasília.

[+] https://t.co/CmCX0WDZV2",1536841290666717186,18,1,134,1324156902427807744,Twitter for Android,pt,2022-06-14 22:41:31+00:00,
8,"Hoje eu conheci pessoalmente o Leonardo Péricles @LeoPericlesUP, pré-candidato à presidência da República pela Unidade Popular (UP).

Preto, morador de ocupação e que tem a chama da luta periférica em suas veias.

Ele me concedeu uma entrevista exclusiva. 

Em breve, novidades! https://t.co/cVchww16Lb",1536836599270498307,0,0,23,1324156902427807744,Twitter for Android,pt,2022-06-14 22:22:52+00:00,
9,@SRivoltril Parece que Pablo Marçal também empata com Leonardo Péricles no segundo turno. 🙄,1536728227368026113,0,0,0,1325962735159549955,Twitter for Android,pt,2022-06-14 15:12:15+00:00,
